service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
Stat Holiday,20240408,20240623,0,0,0,0,0,0,0
WeekdayReg_merged_999962,20240408,20240623,1,1,1,1,1,0,0
Stat HolidayReg,20240408,20240623,0,0,0,0,0,0,0
Weekday_merged_999963,20240408,20240623,1,1,1,1,1,0,0
SatSun,20240408,20240623,0,0,0,0,0,1,1
SatSunReg,20240408,20240623,0,0,0,0,0,1,1
All Days_merged_999964,20240408,20240623,1,1,1,1,1,1,1
WeekdayReg_merged_999965,20240219,20240407,1,1,1,1,1,0,0
Weekday_merged_999966,20240219,20240407,1,1,1,1,1,0,0
All Days_merged_999967,20240219,20240407,1,1,1,1,1,1,1
Saturday,20240219,20240407,0,0,0,0,0,1,1
Statutory,20240219,20240407,0,0,0,0,0,0,0
SaturdayReg,20240219,20240407,0,0,0,0,0,1,1
StatutoryReg,20240219,20240407,0,0,0,0,0,0,0
