location_type,stop_id,stop_lat,stop_lon,parent_station,stop_name,stop_code,stop_timezone,preferred,stop_url,wheelchair_boarding,stop_desc,zone_id
0,93192,43.839231,-79.08969999999998,,Glenanna Eastbound @ Fieldlight,93192,,2,,1,,
0,93810,43.936771,-78.711204,,Northglen Eastbound @ Kenneth Cole,93810,,2,,2,,
0,10,43.89754400000001,-78.93895,,Garden Northbound @ Bassett (South stop),10,,2,,1,,
0,100,43.87593224,-78.961715,,McQuay Northbound @ Dundas,100,,2,,1,,
0,1000,43.87268331,-78.855412,,Glen Northbound @ Medina,1000,,2,,1,,
0,1001,43.87529628,-78.856489,,Northbound @ 825 Glen,1001,,2,,1,,
0,1002,43.875507,-78.858799,,Malaga Westbound @ Oxford,1002,,2,,1,,
0,1003,43.874698,-78.862502,,Malaga Westbound @ Park,1003,,1,,1,,
0,101,43.878431,-78.96314599999998,,McQuay Northbound @ Moonstone,101,,2,,1,,
0,1014,43.87443,-78.863301,,Malaga Eastbound @ Park,1014,,2,,2,,
0,1015,43.875032,-78.86054799999998,,Malaga Eastbound @ Oxford (West side stop),1015,,2,,1,,
0,1016,43.875586,-78.857982,,Malaga Eastbound @ Oxford (East side stop),1016,,2,,1,,
0,1017,43.87507063000001,-78.85656,,Southbound @ 830 Glen,1017,,2,,1,,
0,1018,43.87281378,-78.855636,,Glen Southbound @ Medina,1018,,2,,1,,
0,1019,43.871258,-78.854967,,Glen Southbound @ Porter,1019,,2,,1,,
0,102,43.879593,-78.965224,,McQuay Northbound @ Kennett,102,,2,,1,,
0,1020,43.873007,-78.846475,,Wentworth Eastbound @ Ravine,1020,,2,,1,,
0,1023,43.872059,-78.841181,,Simcoe Southbound @ Ritson,1023,,2,,1,,
0,1024,43.870666,-78.8386,,Simcoe Southbound @ Wellington,1024,,2,,1,,
0,1025,43.86897900000001,-78.835431,,Simcoe Southbound @ Kawartha,1025,,2,,1,,
0,1027,43.863287,-78.82959099999998,,Westbound @ 60 Lakeview Park,1027,,2,,1,,
0,1029,43.861379,-78.836721,,Lakeview Park Westbound @ Ritson,1029,,2,,1,,
0,103,43.881326,-78.966408,,McQuay Northbound @ Balsdon,103,,2,,1,,
0,1030,43.86425,-78.83846,,Valley Westbound @ Ritson,1030,,2,,1,,
0,1031,43.864094,-78.84241,,Phillip Murray Southbound @ Fundy,1031,,2,,1,,
0,1032,43.86300700000001,-78.84441,,Phillip Murray Southbound @ Scugog,1032,,2,,1,,
0,1033,43.86144322995122,-78.84781779532226,,Cedar Northbound @ Phillip Murray,1033,,2,,1,,
0,104,43.8836627,-78.9673866,,McQuay Northbound @ Bonacord,104,,2,,1,,
0,105,43.8852378,-78.968363,,McQuay Northbound @ Guthrie,105,,2,,1,,
0,1052,43.867405,-78.899322,,Eastbound @ 1733 Victoria,1052,,1,,2,,
0,1053,43.8748675,-78.8787787,,Eastbound @ 555 Bloor,1053,,2,,1,,
0,1055,43.878406,-78.864296,,Eastbound @ 249 Bloor,1055,,2,,1,,
0,1056,43.879381,-78.860118,,Bloor Eastbound @ Oxford,1056,,2,,1,,
0,1057,43.880241,-78.856285,,Bloor Eastbound @ Simcoe,1057,,2,,1,,
0,1058,43.880885,-78.853414,,Bloor Eastbound @ Albert,1058,,2,,1,,
0,1059,43.8816337,-78.8499396,,Bloor Eastbound @ Merritt,1059,,2,,1,,
0,106,43.888336,-78.969264,,McQuay Northbound @ Renfield,106,,2,,1,,
0,1066,43.888433,-78.819826,,Eastbound @ 887 Bloor,1066,,2,,2,,
0,1067,43.889648,-78.813063,,Grandview Southbound @ Bloor (South side stop),1067,,2,,1,,
0,1068,43.88767,-78.810582,,Grandview Southbound @ Downview,1068,,2,,1,,
0,1069,43.88659650000001,-78.8095866,,Grandview Southbound @ Norman,1069,,2,,1,,
0,107,43.89000200000001,-78.97109399999998,,McQuay Northbound @ Jacob,107,,2,,1,,
0,1070,43.886499,-78.806985,,Grandview Eastbound @ Southdown,1070,,2,,1,,
0,1071,43.88752003,-78.80497908,,Townline Northbound @ Grandview,1071,,2,,1,,
0,108,43.889791,-78.97463999999998,,McQuay Westbound @ Muir,108,,2,,1,,
0,1080,43.888469,-78.820015,,Westbound @ 882 Bloor,1080,,2,,1,,
0,1083,43.885798,-78.83223599999998,,Bloor Westbound @ Farewell,1083,,2,,1,,
0,1084,43.885282,-78.83441,,Bloor Westbound @ Holland,1084,,2,,1,,
0,1088,43.881681,-78.85046,,Bloor Westbound @ Merritt,1088,,2,,1,,
0,1089,43.880638,-78.855267,,Bloor Westbound @ Simcoe,1089,,2,,1,,
0,1090,43.8794327,-78.86027799999998,,Bloor Westbound @ Oxford,1090,,2,,1,,
0,1091,43.878553,-78.864334,,Bloor Westbound @ Park,1091,,2,,1,,
0,1096,43.874477,-78.845479,,Simcoe Northbound @ Wentworth,1096,,2,,1,,
0,1097,43.876246,-78.848778,,Simcoe Northbound @ Frank,1097,,2,,1,,
0,11,43.898916,-78.939531,,Garden Northbound @ Rossland (Durham Region Headquarters),11,,2,,1,,
